Cosmic Watch Muon Detector
Device ID: Kingswood College A
Firmware version: 2.3.2
Compiled: Aug 10 2019 at 18:06:55
Official website: http://cosmicwatch.lns.mit.edu/
This firmware can be found at: https://github.com/jgOhYeah/NonOfficial-StuffForCosmicWatchMuonDetectors

Master
Count Time_Stamp_ms Measured_ADC_0-1023 SIPM_Voltage_mV Dead_Time_ms Temperature_C
1 170 99 21.9 52 22.2
2 5139 127 24.2 231 22.2
3 5504 70 18.9 299 22.2
4 6119 255 44.0 323 22.2
5 8398 140 25.4 464 22.2
6 9763 120 23.6 532 22.2
7 11116 399 87.3 608 22.2
8 12556 192 32.7 712 22.2
9 12882 240 41.2 736 22.3
10 13164 391 82.4 760 21.5
11 15495 112 22.9 867 22.2
12 15710 236 40.4 937 22.2
13 16145 57 16.9 961 22.2
14 16257 135 24.9 985 22.2
15 16342 51 15.9 1009 22.2
16 16537 366 72.4 1033 22.2
17 16622 60 17.4 1057 22.2
18 17452 51 15.9 1127 22.2
19 19524 161 27.9 1234 22.2
20 20789 54 16.4 1305 22.2
21 21775 207 35.3 1375 22.2
22 22881 96 21.7 1445 22.2
23 23717 92 21.3 1515 22.2
24 25701 127 24.2 1622 22.2
25 27665 94 21.5 1736 22.2
26 28400 80 20.1 1806 22.2
27 29036 158 27.5 1830 22.2
28 31691 51 15.9 1998 22.2
29 33589 63 17.9 2108 22.2
30 34498 67 18.5 2182 22.2
31 35516 120 23.6 2252 22.2
32 36850 103 22.2 2322 22.2
33 37370 110 22.8 2346 22.2
34 38575 344 64.7 2416 22.2
35 42898 111 22.9 2635 22.2
36 44278 271 46.9 2705 22.2
37 44312 102 22.2 2729 22.2
38 44735 62 17.8 2753 22.2
39 47233 135 24.9 2897 22.2
40 47800 707 321 2921 21.1
41 49657 79 20.0 3036 22.2
42 49922 179 30.6 3060 22.2
43 54886 71 19.1 3286 22.2
44 56205 67 18.5 3356 22.2
45 59708 352 66.9 3537 22.2
46 60545 275 47.7 3607 22.2
47 61707 64 18.1 3677 22.2
48 61944 126 24.1 3700 22.2
49 61994 211 36.0 3724 22.2
50 65936 263 45.4 3904 22.2
51 66838 127 24.2 3974 22.2
52 68147 224 38.3 4044 22.0
53 69086 115 23.2 4114 22.2
54 69413 99 21.9 4138 22.2
55 70578 211 36.0 4208 22.2
56 72931 263 45.4 4315 22.2
57 75764 207 35.3 4458 22.2
58 76318 408 90.6 4528 22.0
59 80707 177 30.3 4709 22.2
60 81569 103 22.2 4779 22.2
61 84515 204 34.7 4929 22.2
62 85273 67 18.5 4953 22.2
63 86847 224 38.3 5060 22.2
64 88132 65 18.2 5130 22.2
65 89607 73 19.3 5200 22.2
66 94477 115 23.2 5419 22.2
67 95092 207 35.3 5489 22.2
68 95632 67 18.5 5513 22.2
69 95763 209 35.6 5537 22.2
70 96707 99 21.9 5607 22.2
71 98568 204 34.7 5713 22.2
72 98811 89 21.1 5737 22.2
73 104046 255 44.0 5955 22.2
74 104348 327 59.3 6025 22.2
75 104553 78 19.9 6049 22.2
76 106358 295 51.7 6155 22.2
77 107404 118 23.4 6225 22.2
78 108284 65 18.2 6249 22.2
79 108350 97 21.7 6281 22.2
80 108440 240 41.2 6351 22.7
81 108907 312 55.7 6375 22.2
82 109297 76 19.7 6399 22.2
83 110603 177 30.3 6505 22.2
84 113362 236 40.4 6612 22.2
85 114358 295 51.7 6682 22.2
86 115154 112 22.9 6752 22.2
87 116133 78 19.9 6822 22.3
88 117312 96 21.7 6892 22.2
89 118298 67 18.5 6962 22.2
90 119726 76 19.7 7032 22.2
91 121015 88 21.0 7139 22.2
92 121422 289 50.5 7169 22.2
93 123914 319 57.6 7276 22.2
94 127287 102 22.2 7457 22.2
95 127436 289 50.5 7481 22.3
96 132143 583 201 7669 21.5
97 134580 124 23.9 7822 22.2
98 135369 496 144 7846 21.5
99 135839 71 19.1 7917 22.2
100 139193 143 25.7 8061 22.2
101 142746 220 37.6 8207 22.7
102 143021 78 19.9 8279 22.2
103 143510 159 27.7 8303 22.2
104 144488 184 31.4 8375 22.2
105 144983 79 20.0 8447 22.2
106 151163 371 73.8 8704 22.2
107 151978 71 19.1 8728 22.2
108 156084 167 28.8 8911 22.2
109 157876 83 20.5 9019 22.2
110 159305 120 23.6 9091 22.2
111 160280 110 22.8 9164 22.2
112 160951 408 90.6 9236 22.2
113 161802 284 49.4 9316 22.2
114 162050 231 39.5 9340 22.2
115 163372 99 21.9 9412 22.2
116 165506 88 21.0 9521 22.2
117 167119 192 32.7 9630 22.2
118 168490 56 16.8 9703 22.2
119 170288 295 51.7 9811 22.2
120 170623 112 22.9 9835 22.2
121 171505 126 24.1 9907 22.2
122 171577 60 17.4 9931 22.2
123 171631 198 33.7 9955 22.2
124 172783 63 17.9 10028 22.2
125 172858 268 46.3 10052 22.2
126 177636 199 33.9 10272 22.3
127 180019 371 73.8 10381 22.2
128 180694 246 42.3 10453 22.2
129 180812 56 16.8 10477 22.2
130 182950 103 22.2 10610 22.2
131 183760 49 15.5 10682 22.2
132 185096 275 47.7 10754 22.2
133 187666 71 19.1 11027 22.2
134 188517 403 89.0 11181 22.0
135 190954 57 16.9 11327 22.2
136 191392 71 19.1 11351 22.2
137 194804 199 33.9 11499 22.2
138 197156 254 43.8 11862 22.2
139 197455 67 18.5 12118 22.2
140 199830 271 46.9 12471 22.2
141 201392 113 23.0 12640 22.2
142 201932 159 27.7 12712 22.2
143 202665 529 156 12784 21.5
144 204497 108 22.6 12857 22.2
145 208822 88 21.0 13039 22.2
146 210272 207 35.3 13156 22.3
147 212040 60 17.4 13266 22.2
148 212291 467 122 13290 22.2
149 213362 78 19.9 13362 22.7
150 217361 56 16.8 13545 22.2
151 217715 51 15.9 13569 22.2
152 217759 195 33.2 13593 22.2
153 218912 166 28.6 13673 22.2
154 221564 163 28.2 13818 22.2
155 222626 255 44.0 13890 22.7
156 225713 227 38.8 14035 22.2
157 226725 248 42.7 14107 22.3
158 229705 131 24.5 14217 22.2
159 232222 67 18.5 14363 22.3
160 235878 76 19.7 14508 22.2
161 239204 62 17.8 14691 22.2
162 239446 71 19.1 14722 22.2
163 239662 88 21.0 14746 22.2
164 239789 56 16.8 14770 22.2
165 243658 195 33.2 14952 22.2
166 247069 307 54.5 15098 22.2
167 247255 152 26.8 15122 22.2
168 247561 48 15.3 15194 22.2
169 250542 94 21.5 15303 22.2
170 253799 417 95.2 15486 22.2
171 255580 176 30.1 15558 22.2
172 256730 96 21.7 15630 22.3
173 258634 172 29.5 15739 22.3
174 259218 192 32.7 15811 22.7
175 261533 179 30.6 15920 22.2
176 261753 56 16.8 15944 22.2
177 264557 56 16.8 16090 22.2
178 265687 384 80.1 16170 22.2
179 267017 192 32.7 16242 22.2
180 269808 270 46.7 16389 22.2
181 269867 284 49.4 16413 22.3
182 271081 284 49.4 16485 22.2
183 273009 124 23.9 16594 22.2
184 273308 547 162 16618 21.5
185 273502 192 32.7 16642 22.2
186 275472 67 18.5 16751 22.2
187 275575 67 18.5 16775 22.2
188 277826 199 33.9 16922 22.2
189 278435 224 38.3 16946 22.2
190 278573 67 18.5 16970 22.3
191 283713 275 47.7 17190 22.2
192 284244 158 27.5 17262 22.2
