Cosmic Watch Muon Detector
Device ID: Kingswood College B
Firmware version: 2.1.1 non official
Compiled: Jul 22 2018 at 15:06:55
Official website: http://cosmicwatch.lns.mit.edu/
This software can be found at: https://github.com/jgOhYeah/NonOfficial-StuffForCosmicWatchMuonDetectors

Master
Count,Time Stamp,Measured ADC,SIPM Voltage,Dead Time,Temperature C
1,594,337,62.3,65,19.3
2,626,359,69.9,91,18.5
3,937,135,24.9,113,19.6
4,1345,399,87.3,203,18.0
5,1908,193,32.8,225,19.0
6,4140,179,30.6,350,19.0
7,6074,423,97.4,481,17.7
8,7743,60,17.4,603,19.6
9,7795,71,19.1,628,19.6
10,7850,63,17.9,652,18.8
11,8271,188,32.0,676,18.5
12,8713,120,23.6,765,19.6
13,9350,487,133,790,17.4
14,9390,113,23.0,814,19.6
15,9593,67,18.5,906,19.3
16,10453,476,130,931,17.7
17,11300,387,81.0,1024,18.0
18,11345,359,69.9,1047,19.3
19,12367,240,41.2,1137,19.0
20,13103,222,38.0,1228,19.6
21,14220,96,21.7,1317,18.6
22,14663,176,30.1,1344,19.3
23,17605,110,22.8,1501,19.3
24,18795,334,61.4,1597,19.3
25,19191,103,22.2,1690,19.0
26,19743,60,17.4,1723,19.3
27,20032,697,300,1750,17.4
28,20611,295,51.7,2009,19.6
29,21441,73,19.3,2102,19.3
30,22031,92,21.3,2125,19.6
31,22257,71,19.1,2152,19.6
32,22339,376,76.4,2175,18.5
33,22496,176,30.1,2269,19.0
34,23046,519,154,2291,17.4
35,23329,448,112,2317,17.7
36,23759,56,16.8,2405,18.5
37,24643,49,15.5,2498,18.5
38,25747,71,19.1,2588,19.3
39,25936,156,27.3,2616,19.0
40,26205,472,126,2640,18.2
41,26598,63,17.9,2667,19.6
42,27467,295,51.7,2755,19.0
43,27941,287,50.2,2847,19.6
44,28527,369,73.4,2877,18.5
45,29772,408,90.6,2967,18.0
46,30423,63,17.9,3059,19.3
47,33040,49,15.5,3216,19.6
48,33391,444,109,3242,17.8
49,33670,67,18.5,3264,19.3
50,34722,88,21.0,3356,19.6
51,34900,88,21.0,3378,18.8
52,35240,423,97.4,3469,18.2
53,35597,65,18.2,3493,19.6
54,36086,449,112,3520,18.2
55,36625,195,33.2,3611,19.0
56,36745,255,44.0,3637,19.6
57,37475,102,22.2,3726,18.6
58,37785,137,25.1,3751,19.6
59,37975,135,24.9,3774,18.6
60,39542,172,29.5,3900,19.6
61,40526,312,55.7,3991,19.6
62,40743,76,19.7,4023,19.6
63,41336,335,61.8,4050,19.6
64,42197,124,23.9,4139,19.6
65,42853,76,19.7,4232,19.6
66,45225,192,32.7,4354,19.6
67,45598,472,126,4380,17.7
68,46036,76,19.7,4468,19.0
69,46892,632,233,4562,17.4
70,47246,152,26.8,4585,19.6
71,47325,99,21.9,4612,19.6
72,47767,83,20.5,4634,19.6
73,48249,524,151,4726,17.4
74,50356,295,51.7,4846,19.6
75,50661,56,16.8,4872,19.3
76,50890,312,55.7,4894,19.6
77,51502,56,16.8,4987,19.3
78,52025,240,41.2,5012,19.6
