Cosmic Watch Muon Detector
Device ID: Kingswood College A
Firmware version: 2.1.1 non official
Compiled: Jul 22 2018 at 15:06:00
Official website: http://cosmicwatch.lns.mit.edu/
This software can be found at: https://github.com/jgOhYeah/NonOfficial-StuffForCosmicWatchMuonDetectors

Slave
Count,Time Stamp,Measured ADC,SIPM Voltage,Dead Time,Temperature C
1,6387,127,24.2,270,20.9
2,8487,376,76.4,393,20.3
3,9526,97,21.7,481,20.9
4,19898,135,24.9,873,20.9
5,29476,79,20.0,1231,20.4
6,37479,196,33.4,1556,20.9
7,38146,115,23.2,1609,20.9
8,44046,103,22.2,1868,20.9
9,48582,135,24.9,2058,20.9
10,50621,71,19.1,2179,20.9
11,60127,124,23.9,2540,20.9
12,60907,246,42.3,2630,20.9
13,63227,451,113,2753,19.6
14,64896,67,18.5,2878,20.9
15,70131,115,23.2,3104,20.9
16,79097,131,24.5,3466,20.9
17,81790,110,22.8,3590,20.9
18,90521,60,17.4,3953,20.9
19,92506,207,35.3,4044,20.9
20,96366,99,21.9,4237,20.9
21,101287,147,26.2,4463,20.9
22,120489,192,32.7,5128,20.9
23,125206,103,22.2,5356,20.9
24,126133,78,19.9,5447,20.9
25,127130,67,18.5,5546,20.9
26,134491,316,56.8,5841,20.9
27,150479,120,23.6,6405,20.9
28,161522,131,24.5,6835,20.9
29,164345,384,80.1,6995,20.3
30,167883,83,20.5,7152,20.9
31,181228,199,33.9,7649,20.9
32,182503,51,15.9,7739,20.9
33,185802,83,20.5,7897,20.9
34,190043,88,21.0,8089,20.9
35,191902,63,17.9,8214,20.9
36,196600,63,17.9,8443,20.9
37,222995,63,17.9,9349,20.4
38,223180,352,66.9,9373,20.9
39,240177,108,22.6,10005,20.9
40,242761,92,21.3,10133,20.9
41,243591,83,20.5,10224,20.9
42,246466,207,35.3,10388,20.9
43,248860,96,21.7,10512,20.9
44,258393,211,36.0,10875,20.9
45,261052,63,17.9,11037,20.9
46,261655,140,25.4,11065,20.9
47,262610,88,21.0,11156,20.9
48,263560,49,15.5,11247,20.9
49,264763,51,15.9,11338,20.9
50,270926,92,21.3,11601,20.9
51,273919,172,29.5,11758,20.9
52,277347,312,55.7,11919,20.9
53,277462,152,26.8,11943,20.9
54,280619,399,87.3,12101,20.3
55,288896,83,20.5,12431,20.9
56,308511,248,42.7,13132,20.9
57,316437,76,19.7,13461,20.9
58,317159,86,20.8,13552,20.9
59,317270,287,50.2,13584,20.9
60,317958,350,66.5,13608,20.9
61,334921,94,21.5,14240,20.9
62,343413,60,17.4,14568,20.9
63,345293,255,44.0,14691,20.9
64,349074,135,24.9,14851,20.9
65,351450,600,204,15009,19.3
66,353085,63,17.9,15099,20.9
67,353611,60,17.4,15189,20.9
68,356857,504,144,15346,19.8
69,359533,67,18.5,15472,20.9
70,360649,92,21.3,15563,20.9
71,372800,94,21.5,16027,20.9
72,376751,184,31.4,16219,20.9
73,380603,166,28.6,16410,20.9
74,400893,68,18.6,17116,20.9
75,405061,65,18.2,17309,20.9
76,406608,280,48.7,17442,20.9
77,408881,364,71.7,17567,20.9
78,417486,131,24.5,17893,20.9
79,429700,112,22.9,18357,20.9
80,434462,76,19.7,18549,20.9
81,437535,156,27.3,18708,20.9
82,443167,401,87.9,18969,20.3
83,447408,216,36.8,19164,20.9
84,447696,110,22.8,19188,20.9
85,450258,152,26.8,19345,20.9
86,461918,249,42.9,19776,20.9
87,467309,332,61.2,20002,20.9
88,481271,145,26.0,20501,20.9
89,482792,455,117,20627,19.8
90,489217,71,19.1,20887,20.9
91,496807,121,23.7,21182,20.9
92,505849,96,21.7,21546,20.9
93,511061,225,38.5,21771,20.9
94,512437,199,33.9,21861,20.9
95,518647,120,23.6,22121,20.9
96,525465,76,19.7,22416,20.9
97,526763,359,69.9,22507,20.9
98,531809,240,41.2,22733,20.9
99,536271,158,27.5,22927,20.9
100,537916,295,51.7,23054,20.9
101,538177,332,61.2,23078,20.9
102,542095,115,23.2,23274,20.9
103,543228,131,24.5,23367,20.9
104,543916,227,38.8,23460,20.9
105,549818,262,45.2,23691,20.9
106,558030,291,51.0,24020,20.9
107,559499,76,19.7,24146,20.9
108,565299,110,22.8,24378,20.9
109,570164,236,40.4,24618,20.9
110,570442,115,23.2,24642,20.9
111,574699,335,61.8,24837,20.9
112,577828,159,27.7,24997,20.9
113,581219,67,18.5,25158,20.9
114,582108,335,61.8,25250,20.9
115,582723,140,25.4,25342,20.9
116,584945,542,169,25469,19.8
117,594007,287,50.2,25836,20.9
118,597271,143,25.7,25998,20.9
119,601416,399,87.3,26192,20.3
120,604833,79,20.0,26352,20.9
121,612417,67,18.5,26647,20.9
122,615363,211,36.0,26808,20.9
123,617546,127,24.2,26933,20.9
124,630929,263,45.4,27433,20.9
125,633199,739,496,27584,19.0
126,637876,99,21.9,27814,20.9
127,659690,152,26.8,28585,20.9
128,659858,224,38.3,28609,20.9
129,663576,127,24.2,28803,20.9
130,664541,719,345,28827,19.1
131,672562,56,16.8,29158,20.9
132,676134,147,26.2,29352,20.9
133,677429,335,61.8,29446,20.9
134,680418,99,21.9,29606,20.9
135,681858,184,31.4,29698,20.9
136,693545,312,55.7,30129,20.9
137,696326,62,17.8,30290,20.9
138,710724,102,22.2,30824,20.9
139,716713,63,17.9,31084,20.9
140,717761,124,23.9,31176,20.9
141,724013,222,38.0,31445,20.9
142,724367,108,22.6,31469,20.9
143,733949,97,21.7,31833,20.9
144,735998,248,42.7,31960,20.9
145,742125,231,39.5,32222,20.9
146,747041,252,43.4,32450,20.9
147,747072,79,20.0,32474,20.9
148,752210,112,22.9,32704,20.9
149,758623,391,82.4,32966,20.3
150,768911,124,23.9,33364,20.9
151,769462,140,25.4,33388,20.9
152,775741,51,15.9,33649,20.9
153,785857,504,144,34047,20.3
154,788501,254,43.8,34209,20.9
155,799088,423,97.4,34726,20.3
156,803011,115,23.2,35053,20.9
157,806513,344,64.7,35220,20.9
158,810436,185,31.5,35414,20.9
159,821731,518,151,35844,20.3
160,822870,412,92.9,35937,20.3
161,835497,92,21.3,36405,20.9
162,838747,110,22.8,36564,20.9
163,840106,124,23.9,36657,20.9
164,840876,115,23.2,36750,20.9
165,846023,156,27.3,36979,20.9
166,864733,51,15.9,37647,20.9
167,878884,129,24.4,38181,20.9
168,880168,127,24.2,38274,20.9
169,882818,60,17.4,38404,20.9
170,883899,216,36.8,38501,20.9
171,886540,67,18.5,38661,20.9
172,888445,337,62.3,38788,20.9
173,890189,172,29.5,38889,20.9
174,894762,152,26.8,39118,20.9
175,894956,99,21.9,39142,20.9
176,899453,176,30.1,39337,20.9
177,904464,88,21.0,39568,20.9
178,904813,248,42.7,39592,20.9
179,915986,120,23.6,40025,20.9
180,926631,348,65.6,40549,20.9
181,928308,115,23.2,40823,20.9
182,934337,192,32.7,41086,20.9
183,951910,124,23.9,41721,20.9
184,957410,115,23.2,41949,20.9
185,959968,71,19.1,42076,20.9
186,961932,112,22.9,42202,20.9
187,963648,103,22.2,42328,20.9
188,963791,326,59.1,42352,20.9
189,963985,115,23.2,42376,20.9
190,966668,192,32.7,42544,20.9
191,968578,504,144,42670,20.3
192,970539,231,39.5,42763,20.9
193,970761,216,36.8,42855,20.9
194,972891,188,32.0,42982,20.9
195,973909,323,58.5,43076,20.9
196,976507,112,22.9,43204,20.9
197,976896,63,17.9,43228,20.9
198,981308,527,156,43456,20.3
199,988314,88,21.0,43716,20.9
200,992491,307,54.5,43910,20.9
201,992808,143,25.7,44003,20.9
202,1001261,246,42.3,44331,20.9
203,1013484,206,35.1,44795,20.9
204,1017290,60,17.4,44956,20.9
205,1023913,83,20.5,45252,20.9
206,1024722,211,36.0,45284,20.9
207,1026939,222,38.0,45443,20.9
208,1029433,112,22.9,45572,20.9
209,1030443,327,59.3,45665,20.9
210,1053464,131,24.5,46473,20.9
211,1054158,387,81.0,46566,20.4
212,1059269,67,18.5,46795,20.9
213,1061709,83,20.5,46924,20.9
214,1068671,112,22.9,47223,20.9
215,1070545,238,40.8,47316,20.9
216,1073610,231,39.5,47475,20.9
217,1074970,56,16.8,47602,20.9
218,1102664,49,15.5,48547,20.9
219,1102875,236,40.4,48640,20.9
220,1105208,432,102,48767,20.3
221,1105337,99,21.9,48797,20.9
222,1106521,259,44.7,48890,20.9
223,1109034,71,19.1,49016,20.9
224,1109516,271,46.9,49108,20.9
225,1109927,167,28.8,49132,20.9
226,1113640,307,54.5,49326,20.9
227,1117299,78,19.9,49487,20.9
228,1128963,376,76.4,49954,20.9
229,1132242,188,32.0,50114,20.9
230,1150074,67,18.5,50753,20.9
231,1152394,76,19.7,50882,20.9
232,1160249,127,24.2,51216,20.9
233,1162743,97,21.7,51343,20.9
234,1167242,83,20.5,51537,20.9
235,1174295,243,41.7,51833,20.9
236,1177989,92,21.3,52031,20.9
237,1186711,60,17.4,52371,20.9
238,1192155,112,22.9,52600,20.9
239,1197845,135,24.9,52862,20.9
240,1198391,103,22.2,52888,20.9
241,1200304,103,22.2,53015,20.9
242,1203254,204,34.7,53176,20.9
243,1204731,96,21.7,53269,20.9
244,1208036,152,26.8,53462,20.9
245,1208392,65,18.2,53486,20.9
246,1216638,236,40.4,53819,20.9
247,1226259,387,81.0,54183,20.4
248,1227405,255,44.0,54275,20.9
249,1227983,515,148,54367,20.3
250,1230086,163,28.2,54494,20.9
251,1236376,67,18.5,54756,20.9
252,1237826,127,24.2,54851,20.9
253,1246444,248,42.7,55205,20.9
254,1251927,384,80.1,55468,20.4
255,1255086,103,22.2,55628,20.9
256,1255258,76,19.7,55652,20.9
257,1256103,408,90.6,55745,20.3
258,1270928,224,38.3,56277,20.9
259,1274844,281,48.9,56472,20.9
260,1278183,271,46.9,56634,20.9
261,1290009,142,25.6,57068,20.9
262,1299839,78,19.9,57468,20.9
263,1319565,127,24.2,58169,20.9
264,1324587,278,48.3,58398,20.9
265,1341717,131,24.5,59000,20.9
266,1344857,94,21.5,59162,20.9
267,1345255,67,18.5,59254,20.9
268,1350766,124,23.9,59516,20.9
269,1358537,96,21.7,59811,20.9
270,1363019,152,26.8,60039,20.9
271,1364444,62,17.8,60133,20.9
272,1371101,172,29.5,60396,20.9
273,1372417,79,20.0,60523,20.9
274,1375492,135,24.9,60682,20.9
275,1383709,147,26.2,61012,20.9
276,1409989,103,22.2,61925,20.9
277,1416811,316,56.8,62187,20.9
278,1422649,271,46.9,62449,20.9
279,1429521,263,45.4,62745,20.9
280,1430600,177,30.3,62837,20.9
281,1439903,131,24.5,63201,20.9
282,1449167,120,23.6,63565,20.9
283,1449763,92,21.3,63589,20.9
284,1452063,97,21.7,63720,20.9
285,1452282,419,97.2,63812,20.3
286,1456112,121,23.7,63973,20.9
287,1468386,79,20.0,64439,20.9
288,1471812,103,22.2,64600,20.9
289,1480722,262,45.2,64965,20.9
290,1493339,63,17.9,65429,20.9
291,1498125,96,21.7,65657,20.9
292,1499602,284,49.4,65752,20.9
293,1506352,167,28.8,66051,20.9
294,1514140,519,154,66348,20.3
295,1517677,440,109,66509,20.3
296,1517966,689,301,66603,20.3
297,1519543,56,16.8,66696,20.9
298,1521875,76,19.7,66825,20.9
299,1530843,199,33.9,67189,20.9
300,1531174,97,21.7,67221,20.9
301,1534294,280,48.7,67381,20.9
302,1536734,243,41.7,67543,20.9
303,1546001,102,22.2,67907,20.9
304,1547349,84,20.6,68001,20.9
305,1564113,115,23.2,68601,20.9
306,1571920,409,91.1,68934,20.4
307,1572385,248,42.7,68958,20.9
308,1590862,248,42.7,69628,20.9
309,1591981,88,21.0,69721,20.9
310,1599714,88,21.0,70015,20.9
311,1604241,135,24.9,70243,20.9
312,1606737,89,21.1,70372,20.9
313,1613090,391,82.4,70635,20.4
314,1616073,113,23.0,70795,20.9
315,1626849,255,44.0,71201,20.9
316,1628262,60,17.4,71328,20.9
317,1630175,231,39.5,71455,20.9
318,1631848,198,33.7,71547,20.9
319,1639221,291,51.0,71843,20.9
320,1642333,163,28.2,72005,20.9
321,1643070,231,39.5,72097,20.9
322,1651523,199,33.9,72425,20.9
323,1652172,319,57.6,72518,20.9
324,1655841,120,23.6,72678,20.9
325,1657313,480,130,72805,20.3
326,1659482,79,20.0,72932,20.9
327,1665865,79,20.0,73194,20.9
328,1666511,159,27.7,73218,20.9
329,1669506,472,126,73377,20.3
330,1676707,56,16.8,73675,20.9
331,1680405,62,17.8,73876,20.9
332,1685088,240,41.2,74071,20.9
333,1689779,127,24.2,74303,20.9
334,1691330,88,21.0,74396,20.9
335,1692395,71,19.1,74489,20.9
336,1694997,79,20.0,74651,20.9
337,1702961,159,27.7,74945,20.9
338,1712733,254,43.8,75342,20.9
339,1713328,96,21.7,75367,20.9
340,1719170,131,24.5,75630,20.9
341,1729665,271,46.9,76029,20.9
342,1738898,476,130,76395,20.3
343,1740102,167,28.8,76489,20.9
344,1741398,137,25.1,76582,20.9
345,1743608,302,53.3,76708,20.9
346,1749582,224,38.3,76971,20.9
347,1755606,307,54.5,77240,20.9
348,1763122,111,22.9,77538,20.9
349,1769910,184,31.4,77833,20.9
350,1771182,199,33.9,77926,20.9
351,1773613,152,26.8,78056,20.9
352,1774988,103,22.2,78183,20.9
353,1775141,51,15.9,78207,20.9
354,1780755,88,21.0,78437,20.9
355,1789969,88,21.0,78804,20.9
356,1791000,110,22.8,78897,20.9
357,1803164,376,76.4,79363,20.9
358,1810549,83,20.5,79660,20.9
359,1815643,113,23.0,79890,20.9
360,1824040,96,21.7,80220,20.9
361,1824364,78,19.9,80244,20.9
362,1826690,71,19.1,80371,20.9
363,1836210,126,24.1,80745,20.9
364,1837624,94,21.5,80872,20.9
365,1853850,56,16.8,81444,20.9
366,1856187,135,24.9,81604,20.9
367,1857633,105,22.4,81697,20.9
368,1861193,86,20.8,81858,20.9
369,1876373,94,21.5,82426,20.9
370,1876675,204,34.7,82450,20.9
371,1883374,300,52.8,82744,20.9
372,1883918,126,24.1,82768,20.9
373,1888685,243,41.7,82998,20.9
374,1897240,70,18.9,83331,20.9
375,1897940,57,16.9,83423,20.9
376,1903912,81,20.3,83685,20.9
377,1908771,78,19.9,83881,20.9
378,1910816,207,35.3,84030,20.9
379,1913010,271,46.9,84157,20.9
380,1915983,88,21.0,84319,20.9
381,1919890,199,33.9,84514,20.9
382,1927680,71,19.1,84811,20.9
383,1931447,561,174,85008,20.3
384,1932556,435,105,85100,20.3
385,1936539,56,16.8,85293,20.9
386,1937028,60,17.4,85317,20.9
387,1944690,76,19.7,85648,20.9
388,1946383,302,53.3,85741,20.9
389,1950665,88,21.0,85936,20.9
390,1955143,120,23.6,86163,20.9
391,1956124,184,31.4,86256,20.9
392,1959165,184,31.4,86417,20.9
393,1963987,184,31.4,86612,20.9
394,1976976,97,21.7,87119,20.9
395,1984079,63,17.9,87415,20.9
396,1990582,120,23.6,87678,20.9
397,1995385,319,57.6,87874,20.9
398,2006605,83,20.5,88308,20.9
399,2006838,316,56.8,88332,20.9
400,2020335,78,19.9,88832,20.9
401,2028655,280,48.7,89162,20.9
402,2029221,271,46.9,89255,20.9
403,2033454,318,57.3,89449,20.9
404,2036147,281,48.9,89611,20.9
405,2039280,159,27.7,89771,20.9
406,2044476,120,23.6,89999,20.9
407,2054541,94,21.5,90363,20.9
408,2069217,152,26.8,91076,20.9
409,2069541,92,21.3,91177,20.9
410,2071042,63,17.9,91276,20.9
411,2076553,295,51.7,91505,20.9
412,2080650,96,21.7,91700,20.9
413,2098041,204,34.7,92334,20.9
414,2101275,275,47.7,92494,20.9
415,2108133,143,25.7,92794,20.9
416,2109828,88,21.0,92890,20.9
417,2117176,176,30.1,93221,20.9
418,2125921,287,50.2,93552,20.9
419,2127127,377,76.3,93645,20.9
420,2132942,496,144,93907,20.3
421,2141800,92,21.3,94237,20.9
422,2142020,319,57.6,94261,20.9
423,2144024,199,33.9,94389,20.9
424,2159331,57,16.9,94957,20.9
425,2160967,99,21.9,95082,20.9
426,2164260,284,49.4,95239,20.9
427,2165059,412,92.9,95332,20.4
428,2166378,108,22.6,95425,20.9
429,2168323,316,56.8,95552,20.9
430,2170123,97,21.7,95645,20.9
431,2171830,337,62.3,95771,20.9
432,2174097,57,16.9,95898,20.9
433,2178508,184,31.4,96093,20.9
434,2182040,271,46.9,96287,20.9
435,2190559,140,25.4,96618,20.9
436,2206298,280,48.7,97186,20.9
437,2227073,287,50.2,97921,20.9
438,2228161,112,22.9,98014,20.9
439,2235495,120,23.6,98442,20.9
440,2239733,280,48.7,98855,20.9
441,2247282,103,22.2,99192,20.9
442,2247379,199,33.9,99216,20.9
443,2254805,71,19.1,99513,20.9
444,2259963,121,23.7,99741,20.9
445,2264405,120,23.6,99935,20.9
446,2267237,339,63.0,100094,20.9
447,2268327,99,21.9,100187,20.9
448,2274392,71,19.1,100450,20.9
449,2274826,103,22.2,100474,20.9
450,2275210,224,38.3,100498,20.9
451,2279426,206,35.1,100692,20.9
452,2280240,62,17.8,100785,20.9
453,2282486,88,21.0,100912,20.9
454,2285144,172,29.5,101072,21.2
455,2287528,243,41.7,101198,21.2
456,2292848,63,17.9,101434,20.9
457,2292906,352,66.9,101458,21.2
458,2321420,504,144,102471,20.3
459,2321536,99,21.9,102495,20.9
460,2331362,207,35.3,102858,20.9
461,2337774,355,68.3,103154,20.9
462,2339145,96,21.7,103247,20.9
463,2352342,51,15.9,103747,20.9
464,2355924,156,27.3,103907,20.9
465,2356127,92,21.3,103931,20.9
466,2356843,121,23.7,104024,20.9
467,2362370,647,247,104253,20.3
468,2362400,96,21.7,104277,20.9
469,2369881,248,42.7,104573,20.9
470,2374936,88,21.0,104802,20.9
471,2376929,131,24.5,104927,20.9
472,2377651,113,23.0,105028,20.9
473,2379547,83,20.5,105155,20.9
474,2390172,83,20.5,105553,20.9
475,2390324,51,15.9,105578,20.9
476,2400741,56,16.8,105975,20.9
477,2401828,159,27.7,106067,20.9
478,2405125,96,21.7,106232,20.9
479,2412453,99,21.9,106531,21.2
480,2414377,472,126,106657,20.3
481,2436446,254,43.8,107427,20.9
482,2437787,604,211,107553,20.3
483,2438525,323,58.5,107577,21.5
484,2443860,63,17.9,107840,20.9
485,2456193,368,72.9,108272,20.9
486,2456493,120,23.6,108365,20.9
487,2460065,112,22.9,108532,20.9
488,2482087,135,24.9,109303,20.9
489,2492480,207,35.3,109704,21.5
490,2495619,99,21.9,109865,20.9
491,2498625,76,19.7,110025,20.9
492,2500563,307,54.5,110152,21.2
493,2501645,60,17.4,110245,20.9
494,2504801,176,30.1,110406,21.2
495,2506460,140,25.4,110532,20.9
496,2510987,440,109,110726,20.3
497,2516495,120,23.6,110953,21.2
498,2525290,88,21.0,111318,20.9
499,2526566,280,48.7,111410,21.2
500,2534157,79,20.0,111706,20.9
501,2547199,327,59.3,112206,20.9
502,2556414,103,22.2,112595,21.2
503,2557080,79,20.0,112619,20.9
504,2559629,199,33.9,112781,20.9
505,2574129,428,102,113315,20.3
506,2579434,224,38.3,113545,21.5
507,2583946,62,17.8,113739,21.5
508,2588069,120,23.6,113933,20.9
509,2600327,73,19.3,114399,21.2
510,2607672,211,36.0,114695,21.2
511,2610391,124,23.9,114856,20.9
512,2620769,131,24.5,115252,20.9
513,2621057,184,31.4,115276,21.2
